;AVIF;;WebP;;JPEG XL;
Geschwindigkeitsparameter;SSIM;fs [B];SSIM;fs [B];SSIM;fs [B]
Speed 10;0,879580961;69227,04688;;;;
Speed 9;0,879580961;69227,04688;;;0,87248866;39560,5
Speed 8;0,88432688;66898,64278;;;0,872403795;39416,40586
Speed 7;0,886983332;66341,1897;;;0,884850558;41210,30828
Speed 6;0,895631767;68120,95151;0,911997891;46664,2531;0,888335971;40903,67138
Speed 5;0,900454622;68911,26724;0,913421991;47795,81034;0,872750916;40255,9341
Speed 4;0,901385805;68855,54041;0,916769403;48969,12483;0,88880259;44262,1059
Speed 3;0,901775421;68946,89;0,916441436;48969,12483;0,888335971;43567,8431
Speed 2;0,903544614;69034,97522;0,916224219;50384,98207;0,888335971;47014,99552
Speed 1;0,903844601;69106,45313;0,916848977;54377,31724;0,888335971;47028,23897
Speed 0;0,905895263;69584,32597;0,916787666;57580,40897;;
